0, 1671042703934598, 1671042703934598
1, 1671042703954928, 20330
2, 1671042703970297, 15369
3, 1671042703985692, 15395
4, 1671042704001091, 15399
5, 1671042704014925, 13834
6, 1671042704029524, 14599
7, 1671042704044924, 15400
8, 1671042704058729, 13805
9, 1671042704074122, 15393
10, 1671042704087929, 13807
11, 1671042704101730, 13801
12, 1671042704117124, 15394
13, 1671042704130957, 13833
14, 1671042704146357, 15400
15, 1671042704160154, 13797
16, 1671042704173952, 13798
17, 1671042704189346, 15394
18, 1671042704203150, 13804
19, 1671042704218577, 15427
20, 1671042704232383, 13806
21, 1671042704247000, 14617
22, 1671042704260835, 13835
23, 1671042704275428, 14593
24, 1671042704289261, 13833
25, 1671042704304634, 15373
26, 1671042704318464, 13830
27, 1671042704333839, 15375
28, 1671042704347672, 13833
29, 1671042704361474, 13802
30, 1671042704376066, 14592
31, 1671042704389929, 13863
32, 1671042704405299, 15370
33, 1671042704419129, 13830
34, 1671042704432929, 13800
35, 1671042704447524, 14595
36, 1671042704462930, 15406
37, 1671042704476735, 13805
38, 1671042704492195, 15460
39, 1671042704506044, 13849
40, 1671042704521559, 15515
41, 1671042704535405, 13846
42, 1671042704549255, 13850
43, 1671042704563945, 14690
44, 1671042704578608, 14663
45, 1671042704701999, 123391
46, 1671042704715802, 13803
47, 1671042704730377, 14575
48, 1671042704744151, 13774
49, 1671042704758765, 14614
