0, 1671042307770804, 1671042307771091, 287
1, 1671042307792233, 1671042307792361, 128
2, 1671042307806002, 1671042307806116, 114
3, 1671042307819657, 1671042307819677, 20
4, 1671042307832889, 1671042307832907, 18
5, 1671042307846117, 1671042307846135, 18
6, 1671042307859402, 1671042307859511, 109
7, 1671042307873043, 1671042307873061, 18
8, 1671042307886278, 1671042307886295, 17
9, 1671042307899528, 1671042307899545, 17
10, 1671042307912801, 1671042307912911, 110
11, 1671042307926447, 1671042307926557, 110
12, 1671042307940094, 1671042307940113, 19
13, 1671042307953341, 1671042307953464, 123
14, 1671042307967049, 1671042307967067, 18
15, 1671042307980296, 1671042307980404, 108
16, 1671042307993938, 1671042307994046, 108
17, 1671042308007612, 1671042308007630, 18
18, 1671042308020860, 1671042308020967, 107
19, 1671042308034497, 1671042308034516, 19
20, 1671042308047748, 1671042308047855, 107
21, 1671042308061392, 1671042308061498, 106
22, 1671042308075027, 1671042308075045, 18
23, 1671042308088275, 1671042308088381, 106
24, 1671042308101971, 1671042308102076, 105
25, 1671042308115605, 1671042308115623, 18
26, 1671042308128853, 1671042308128871, 18
27, 1671042308142090, 1671042308142196, 106
28, 1671042308155769, 1671042308155787, 18
29, 1671042308169018, 1671042308169123, 105
30, 1671042308182657, 1671042308182763, 106
31, 1671042308196341, 1671042308196448, 107
32, 1671042308209987, 1671042308210093, 106
33, 1671042308223666, 1671042308223773, 107
34, 1671042308237345, 1671042308237362, 17
35, 1671042308250580, 1671042308250686, 106
36, 1671042308264224, 1671042308264242, 18
37, 1671042308277464, 1671042308277571, 107
38, 1671042308291146, 1671042308291251, 105
39, 1671042308304785, 1671042308304803, 18
40, 1671042308318036, 1671042308318142, 106
41, 1671042308331716, 1671042308331824, 108
42, 1671042308345392, 1671042308345409, 17
43, 1671042308358644, 1671042308358750, 106
44, 1671042308372321, 1671042308372427, 106
45, 1671042308385964, 1671042308385982, 18
46, 1671042308399193, 1671042308399299, 106
47, 1671042308412837, 1671042308412854, 17
48, 1671042308426089, 1671042308426198, 109
49, 1671042308439735, 1671042308439792, 57
