0, 1671042513689885, 1671042513690059, 174
1, 1671042513704588, 1671042513704705, 117
2, 1671042513716911, 1671042513716981, 70
3, 1671042513729096, 1671042513729163, 67
4, 1671042513741330, 1671042513741395, 65
5, 1671042513753527, 1671042513753592, 65
6, 1671042513765724, 1671042513765789, 65
7, 1671042513777920, 1671042513777983, 63
8, 1671042513790113, 1671042513790177, 64
9, 1671042513802330, 1671042513802396, 66
10, 1671042513814544, 1671042513814609, 65
11, 1671042513826697, 1671042513826763, 66
12, 1671042513838850, 1671042513838915, 65
13, 1671042513851000, 1671042513851065, 65
14, 1671042513863177, 1671042513863241, 64
15, 1671042513875320, 1671042513875384, 64
16, 1671042513887465, 1671042513887529, 64
17, 1671042513899608, 1671042513899671, 63
18, 1671042513911779, 1671042513911843, 64
19, 1671042513923925, 1671042513923988, 63
20, 1671042513936068, 1671042513936132, 64
21, 1671042513948214, 1671042513948277, 63
22, 1671042513960359, 1671042513960422, 63
23, 1671042513972533, 1671042513972596, 63
24, 1671042513984678, 1671042513984741, 63
25, 1671042513996822, 1671042513996886, 64
26, 1671042514008969, 1671042514009032, 63
27, 1671042514021142, 1671042514021206, 64
28, 1671042514033286, 1671042514033354, 68
29, 1671042514046542, 1671042514046607, 65
30, 1671042514059781, 1671042514059848, 67
31, 1671042514073051, 1671042514073116, 65
32, 1671042514086288, 1671042514086363, 75
33, 1671042514099530, 1671042514099593, 63
34, 1671042514112792, 1671042514112856, 64
35, 1671042514126026, 1671042514126089, 63
36, 1671042514139271, 1671042514139334, 63
37, 1671042514152529, 1671042514152593, 64
38, 1671042514165760, 1671042514165824, 64
39, 1671042514178989, 1671042514179053, 64
40, 1671042514192246, 1671042514192308, 62
41, 1671042514205473, 1671042514205536, 63
42, 1671042514218705, 1671042514218768, 63
43, 1671042514231964, 1671042514232027, 63
44, 1671042514245193, 1671042514245257, 64
45, 1671042514258425, 1671042514258488, 63
46, 1671042514271682, 1671042514271745, 63
47, 1671042514284914, 1671042514284977, 63
48, 1671042514298175, 1671042514298239, 64
49, 1671042514311448, 1671042514311545, 97
